O	The
O	trumpets
O	sounded
O	and
O	the
O	army
O	went
O	on
O	its
O	way
O	to
O	France
O	.
O	The
O	next
O	day
O	King
O	Charles
O	called
O	his
O	lords
O	together
O	.
O	""""
O	You
O	see
O	,
O	""""
O	said
O	he
O	,
O	""""
O	these
O	narrow
O	passes
O	.
O	Whom
O	shall
O	I
O	place
O	to
O	command
O	the
O	rearguard
O	?
O	Choose
O	you
O	a
O	man
O	yourselves
O	.
O	""""
O	Said
O	Ganelon
O	,
O	""""
O	Whom
O	should
O	we
O	choose
O	but
O	my
O	son-in-law
O	,
O	Count
O	Roland
O	?
O	You
O	have
O	no
O	man
O	in
O	your
O	host
O	so
O	valiant
O	.
O	Of
O	a
O	truth
O	he
O	will
O	be
O	the
O	salvation
O	of
O	France
O	.
O	""""
O	The
O	King
O	said
O	when
O	he
O	heard
O	these
O	words
O	,
O	""""
O	What
O	ails
O	you
O	,
O	Ganelon
O	?
O	You
O	look
O	like
O	to
O	one
O	possessed
O	.
O	""""
O	When
O	Count
O	Roland
O	knew
O	what
O	was
O	proposed
O	concerning
O	him
O	,
O	he
O	spake
O	out
O	as
O	a
O	true
O	knight
O	should
O	speak
O	""""
O	I
O	am
O	right
O	thankful
O	to
O	you
O	,
O	my
O	father-in-law
O	,
O	that
O	you
O	have
O	caused
O	me
O	to
O	be
O	put
O	in
O	this
O	place
O	.
O	Of
O	a
O	truth
O	the
O	King
O	of
O	France
O	shall
O	lose
O	nothing
O	by
O	my
O	means
O	,
O	neither
O	charger
O	,
O	nor
O	mule
O	,
O	nor
O	packhorse
O	,
O	nor
O	beast
O	of
O	burden
O	.
O	""""
O	Then
O	Roland
O	turned
O	to
O	the
O	King
O	and
O	said
O	,
O	""""
O	Give
O	me
O	twenty
O	thousand
O	only
O	,
O	so
O	they
O	be
O	men
O	of
O	valour
O	,
O	and
O	I
O	will
O	keep
O	the
O	passes
O	in
O	all
O	safety
O	.
O	So
O	long
O	as
O	I
O	shall
O	live
O	,
O	you
O	need
O	fear
O	no
O	man
O	.
O	""""
O	Then
O	Roland
O	mounted
O	his
O	horse
O	.
O	With
O	him
O	were
O	Oliver
O	his
O	comrade
O	,
O	and
O	Otho
O	and
O	Berenger
O	,
O	and
O	Gerard
O	of
O	Roussillon
O	,
O	an
O	aged
O	warrior
O	,
O	and
O	others
O	,
O	men
O	of
O	renown
O	.
O	And
O	Turpin
O	the
O	Archbishop
O	cried
O	,
O	""""
O	By
O	my
O	head
O	,
O	I
O	will
O	go
O	also
O	.
O	""""
O	So
O	they
O	chose
O	twenty
O	thousand
O	warriors
O	with
O	whom
O	to
O	keep
O	the
O	passes
O	.
O	Meanwhile
O	King
O	Charles
O	had
O	entered
O	the
O	valley
O	of
O	Roncesvalles
O	.
O	High
O	were
O	the
O	mountains
O	on
O	either
O	side
O	of
O	the
O	way
O	,
O	and
O	the
O	valleys
O	were
O	gloomy
O	and
O	dark
O	.
O	But
O	when
O	the
O	army
O	had
O	passed
O	through
O	the
O	valley
O	,
O	they
O	saw
O	the
O	fair
O	land
O	of
O	Gascony
O	,
O	and
O	as
O	they
O	saw
O	it
O	they
O	thought
O	of
O	their
O	homes
O	and
O	their
O	wives
O	and
O	daughters
O	.
O	There
O	was
O	not
O	one
O	of
O	them
O	but
O	wept
O	for
O	very
O	tenderness
O	of
O	heart
O	.
O	But
O	of
O	all
O	that
O	company
O	there
O	was
O	none
O	sadder
O	than
O	the
O	King
O	himself
O	,
O	when
O	he
O	thought
O	how
O	he
O	had
O	left
O	his
O	nephew
O	Count
O	Roland
O	behind
O	him
O	in
O	the
O	passes
O	of
O	Spain
O	.
O	And
O	now
O	the
O	Saracen
O	King
O	Marsilas
O	began
O	to
O	gather
O	his
O	army
O	.
O	He
O	laid
O	a
O	strict
O	command
O	on
O	all
O	his
O	nobles
O	and
O	chiefs
O	that
O	they
O	should
O	bring
O	with
O	them
O	to
O	Saragossa
O	as
O	many
O	men
O	as
O	they
O	could
O	gather
O	together
O	.
O	And
O	when
O	they
O	were
O	come
O	to
O	the
O	city
O	,
O	it
O	being
O	the
O	third
O	day
O	from
O	the
O	issuing
O	of
O	the
O	King
O	'
O	s
O	command
O	,
O	they
O	saluted
O	the
O	great
O	image
O	of
O	Mahomet
O	,
O	the
O	false
O	prophet
O	,
O	that
O	stood
O	on
O	the
O	topmost
O	tower
O	.
O	This
O	done
O	they
O	went
O	forth
O	from
O	the
O	city
O	gates
O	.
O	They
O	made
O	all
O	haste
O	,
O	marching
O	across
O	the
O	mountains
O	and
O	valleys
O	of
O	Spain
O	till
O	they
O	came
O	in
O	sight
O	of
O	the
O	standard
O	of
O	France
O	,
O	where
O	Roland
O	and
O	Oliver
O	and
O	the
O	Twelve
O	Peers
O	were
O	ranged
O	in
O	battle
O	array
O	.
O	The
O	Saracen
O	champions
O	donned
O	their
O	coats
O	of
O	mail
O	,
O	of
O	double
O	substance
O	most
O	of
O	them
O	,
O	and
O	they
O	set
O	upon
O	their
O	heads
O	helmets
O	of
O	Saragossa
O	of
O	well
O	tempered
O	metal
O	,
O	and
O	they
O	girded
O	themselves
O	with
O	swords
O	of
O	Vienna
O	.
O	Fair
O	were
O	their
O	shields
O	to
O	view
O	,
O	their
O	lances
O	were
O	from
O	Valentia
O	,
O	their
O	standards
O	were
O	of
O	white
O	,
O	blue
O	,
O	and
O	red
O	.
O	Their
O	mules
O	they
O	left
O	with
O	the
O	servants
O	,
O	and
O	,
O	mounting
O	their
O	chargers
O	,
O	so
O	moved
O	forwards
O	.
O	Fair
O	was
O	the
O	day
O	and
O	bright
O	the
O	sun
O	,
O	as
O	their
O	armour
O	flashed
O	in
O	the
O	light
O	and
O	the
O	drums
O	were
O	beaten
O	so
O	loudly
O	that
O	the
O	Frenchmen
O	heard
O	the
O	sound
O	.
O	Said
O	Oliver
O	to
O	Roland
O	,
O	""""
O	Comrade
O	,
O	methinks
O	we
O	shall
O	soon
O	do
O	battle
O	with
O	the
O	Saracens
O	.
O	""""
O	""""
O	God
O	grant
O	it
O	,
O	""""
O	answered
O	Roland
O	.
O	""""
O	'
O	Tis
O	our
O	duty
O	to
O	hold
O	the
O	place
O	for
O	the
O	King
O	,
O	and
O	we
O	will
O	do
O	it
O	,
O	come
O	what
O	may
O	.
O	As
O	for
O	me
O	,
O	I
O	will
O	not
O	set
O	an
O	ill
O	example
O	.
O	""""
O	Oliver
O	climbed
O	to
O	the
O	top
O	of
O	a
O	hill
O	,
O	and
O	saw
O	from
