O	King
O	Arthur
O	,
O	in
O	the
O	hall
O	of
O	his
O	palace
O	in
O	London
O	,
O	walked
O	quickly
O	up
O	and
O	down
O	,
O	thinking
O	in
O	great
O	grief
O	of
O	the
O	death
O	of
O	his
O	queen
O	.
O	A
O	group
O	of
O	pages
O	stood
O	quietly
O	in
O	the
O	shadow
O	by
O	the
O	door
O	,
O	and
O	two
O	or
O	three
O	knights
O	gazed
O	silently
O	at
O	the
O	moody
O	king
O	.
O	Suddenly
O	there
O	came
O	the
O	sound
O	of
O	running
O	footsteps;
O	a
O	man
O	dashed
O	into
O	the
O	hall
O	,
O	and
O	threw
O	himself
O	at
O	the
O	feet
O	of
O	the
O	king
O	.
O	It
O	was
O	a
O	squire
O	of
O	Sir
O	Mordred's
O	,
O	and
O	he
O	craved
O	leave
O	to
O	speak
O	.
O	'Say
O	on
O	,
O	'
O	said
O	the
O	king
O	.
O	'My
O	lord
O	,
O	'
O	said
O	the
O	man
O	,
O	'Sir
O	Lancelot
O	hath
O	rescued
O	the
O	queen
O	from
O	the
O	fire
O	and
O	hath
O	slain
O	some
O	thirty
O	of
O	your
O	knights
O	,
O	and
O	he
O	and
O	his
O	kin
O	have
O	taken
O	the
O	queen
O	among
O	them
O	away
O	to
O	some
O	hiding-place
O	.
O	'
O	King
O	Arthur
O	stood
O	for
O	a
O	little
O	while
O	dumb
O	for
O	pure
O	sorrow;
O	then
O	,
O	turning
O	away
O	,
O	he
O	wrung
O	his
O	hands
O	and
O	cried
O	with
O	a
O	voice
O	whose
O	sadness
O	pierced
O	every
O	heart:
O	'Alas
O	,
O	that
O	ever
O	I
O	bare
O	a
O	crown
O	,
O	for
O	now
O	is
O	the
O	fairest
O	fellowship
O	of
O	knights
O	that
O	ever
O	the
O	world
O	held
O	,
O	scattered
O	and
O	broken
O	.
O	'
O	'Further
O	,
O	my
O	lord
O	,
O	'
O	went
O	on
O	the
O	man
O	,
O	as
O	others
O	came
O	into
O	the
O	hall
O	,
O	'Sir
O	Lancelot
O	hath
O	slain
O	the
O	brethren
O	of
O	Sir
O	Gawaine
O	,
O	and
O	they
O	are
O	Sir
O	Gaheris
O	and
O	Sir
O	Gareth
O	.
O	'
O	The
O	king
O	looked
O	from
O	the
O	man
O	to
O	the
O	knights
O	that
