O	Once
O	upon
O	a
O	time
O	there
O	was
O	a
O	man
O	who
O	had
O	a
O	daughter
O	,
O	who
O	was
O	called
O	``
O	Clever
O	Alice
O	;
O	``
O	and
O	when
O	she
O	was
O	grown
O	up
O	,
O	her
O	father
O	said
O	,
O	``
O	We
O	must
O	see
O	about
O	her
O	marrying
O	.
O	``
O	``
O	Yes
O	,
O	``
O	replied
O	her
O	mother
O	,
O	``
O	whenever
O	a
O	young
O	man
O	shall
O	appear
O	who
O	is
O	worthy
O	of
O	her
O	.
O	``
O	At
O	last
O	a
O	certain
O	youth
O	,
O	by
O	name
O	Hans
O	,
O	came
O	from
O	a
O	distance
O	to
O	make
O	a
O	proposal
O	of
O	marriage
O	but
O	he
O	required
O	one
O	condition
O	,
O	that
O	the
O	Clever
O	Alice
O	should
O	be
O	very
O	prudent
O	.
O	``
O	Oh
O	,
O	``
O	said
O	her
O	father
O	,
O	``
O	no
O	fear
O	of
O	that
O	!
O	she
O	has
O	got
O	a
O	head
O	full
O	of
O	brains
O	;
O	``
O	and
O	the
O	mother
O	added
O	,
O	``
O	Ah
O	,
O	she
O	can
O	see
O	the
O	wind
O	blow
O	up
O	the
O	street
O	,
O	and
O	hear
O	the
O	flies
O	cough
O	!
O	``
O	``
O	Very
O	well
O	,
O	``
O	replied
O	Hans
O	;
O	``
O	but
O	remember
O	,
O	if
O	she
O	is
O	not
O	very
O	prudent
O	,
O	I
O	will
O	not
O	take
O	her
O	.
O	``
O	Soon
O	afterwards
O	they
O	sat
O	down
O	to
O	dinner
O	,
O	and
O	her
O	mother
O	said
O	,
O	``
O	Alice
O	,
O	go
O	down
O	into
O	the
O	cellar
O	and
O	draw
O	some
O	beer
O	.
O	``
O	So
O	Clever
O	Alice
O	took
O	the
O	jug
O	down
O	from
O	the
O	wall
O	,
O	and
O	went
O	into
O	the
O	cellar
O	,
O	jerking
O	the
O	lid
O	up
O	and
O	down
O	on
O	her
O	way
O	,
O	to
O	pass
O	away
O	the
O	time
O	.
O	As
O	soon
O	as
O	she
O	got
O	downstairs
O	,
O	she
O	drew
O	a
O	stool
O	and
O	placed
O	it
O	before
O	the
O	cask
O	,
O	in
O	order
O	that
O	she
O	might
O	not
O	have
O	to
O	stoop
O	,
O	for
O	she
O	thought
O	stooping
O	might
O	in
O	some
O	way
O	injure
O	her
O	back
O	,
O	and
O	give
O	it
O	an
O	undesirable
O	bend
O	.
O	Then
O	she
O	placed
O	the
O	can
O	before
O	her
O	and
O	turned
